Dates,State,Consumption_MU
2019-09-21,Andhra Pradesh,159.3
2019-09-22,Andhra Pradesh,156.6
2019-09-23,Andhra Pradesh,158.1
2019-09-24,Andhra Pradesh,153.1
2019-09-25,Andhra Pradesh,153.9
2019-09-26,Andhra Pradesh,147.7
2019-09-27,Andhra Pradesh,149.7
2019-09-28,Andhra Pradesh,154.2
2019-09-29,Andhra Pradesh,160.0
2019-09-30,Andhra Pradesh,163.0
2019-10-01,Andhra Pradesh,168.8
2019-10-02,Andhra Pradesh,167.7
2019-10-03,Andhra Pradesh,168.1
2019-10-04,Andhra Pradesh,164.9
2019-10-05,Andhra Pradesh,163.3
2019-10-06,Andhra Pradesh,160.7
2019-10-07,Andhra Pradesh,158.5
2019-10-08,Andhra Pradesh,154.8
2019-10-09,Andhra Pradesh,158.4
2019-10-10,Andhra Pradesh,159.6
2019-10-11,Andhra Pradesh,159.1
2019-10-12,Andhra Pradesh,160.6
2019-10-13,Andhra Pradesh,162.2
2019-10-14,Andhra Pradesh,165.1
2019-10-15,Andhra Pradesh,164.4
2019-10-16,Andhra Pradesh,156.5
2019-10-17,Andhra Pradesh,152.3
2019-10-18,Andhra Pradesh,154.9
2019-10-19,Andhra Pradesh,155.4
2019-10-20,Andhra Pradesh,149.7
2019-10-21,Andhra Pradesh,152.5
2019-10-22,Andhra Pradesh,146.7
2019-10-23,Andhra Pradesh,144.4
2019-10-24,Andhra Pradesh,146.6
2019-10-25,Andhra Pradesh,151.4
2019-10-26,Andhra Pradesh,149.8
2019-10-27,Andhra Pradesh,146.1
2019-10-28,Andhra Pradesh,152.8
2019-10-29,Andhra Pradesh,156.7
2019-10-30,Andhra Pradesh,149.8
2019-10-31,Andhra Pradesh,148.7
2019-11-01,Andhra Pradesh,153.8
2019-11-02,Andhra Pradesh,155.2
2019-11-03,Andhra Pradesh,157.5
2019-11-04,Andhra Pradesh,164.0
2019-11-05,Andhra Pradesh,167.9
2019-11-06,Andhra Pradesh,173.5
2019-11-07,Andhra Pradesh,173.5
2019-11-08,Andhra Pradesh,171.0
2019-11-09,Andhra Pradesh,164.9
2019-11-10,Andhra Pradesh,165.1
2019-11-11,Andhra Pradesh,173.2
2019-11-12,Andhra Pradesh,176.0
2019-11-13,Andhra Pradesh,173.3
2019-11-14,Andhra Pradesh,171.9
2019-11-15,Andhra Pradesh,165.5
2019-11-16,Andhra Pradesh,168.3
2019-11-17,Andhra Pradesh,168.3
2019-11-18,Andhra Pradesh,175.1
2019-11-19,Andhra Pradesh,173.8
2019-11-20,Andhra Pradesh,167.6
2019-11-21,Andhra Pradesh,168.6
2019-11-22,Andhra Pradesh,169.6
2019-11-23,Andhra Pradesh,169.3
2019-11-24,Andhra Pradesh,167.3
2019-11-25,Andhra Pradesh,169.5
2019-11-26,Andhra Pradesh,169.5
2019-11-27,Andhra Pradesh,169.9
2019-11-28,Andhra Pradesh,168.6
2019-11-29,Andhra Pradesh,167.7
2019-11-30,Andhra Pradesh,170.0
2019-12-01,Andhra Pradesh,151.7
2019-12-02,Andhra Pradesh,151.6
2019-12-03,Andhra Pradesh,152.6
2019-12-04,Andhra Pradesh,153.2
2019-12-05,Andhra Pradesh,156.4
2019-12-06,Andhra Pradesh,156.0
2019-12-07,Andhra Pradesh,155.0
2019-12-08,Andhra Pradesh,150.3
2019-12-09,Andhra Pradesh,155.9
2019-12-10,Andhra Pradesh,159.7
2019-12-11,Andhra Pradesh,163.0
2019-12-12,Andhra Pradesh,160.7
2019-12-13,Andhra Pradesh,159.3
2019-12-14,Andhra Pradesh,156.6
2019-12-15,Andhra Pradesh,154.2
2019-12-16,Andhra Pradesh,155.9
2019-12-17,Andhra Pradesh,158.2
2019-12-18,Andhra Pradesh,160.2
2019-12-19,Andhra Pradesh,166.5
2019-12-20,Andhra Pradesh,167.6
2019-12-21,Andhra Pradesh,167.4
2019-12-22,Andhra Pradesh,164.8
2019-12-23,Andhra Pradesh,166.1
2019-12-24,Andhra Pradesh,167.7
2019-12-25,Andhra Pradesh,164.5
2019-12-26,Andhra Pradesh,168.2
2019-12-27,Andhra Pradesh,172.6
2019-12-28,Andhra Pradesh,170.1
2019-12-29,Andhra Pradesh,163.0
2019-12-30,Andhra Pradesh,164.6
2019-12-31,Andhra Pradesh,170.1
2020-01-01,Andhra Pradesh,165.2
2020-01-02,Andhra Pradesh,167.4
2020-01-03,Andhra Pradesh,171.2
2020-01-04,Andhra Pradesh,166.4
2020-01-05,Andhra Pradesh,160.8
2020-01-06,Andhra Pradesh,161.9
2020-01-07,Andhra Pradesh,161.3
2020-01-08,Andhra Pradesh,166.8
2020-01-09,Andhra Pradesh,168.6
2020-01-10,Andhra Pradesh,171.5
2020-01-11,Andhra Pradesh,171.3
2020-01-12,Andhra Pradesh,170.8
2020-01-13,Andhra Pradesh,170.4
2020-01-14,Andhra Pradesh,166.7
2020-01-15,Andhra Pradesh,156.0
2020-01-16,Andhra Pradesh,153.7
2020-01-17,Andhra Pradesh,167.5
2020-01-18,Andhra Pradesh,169.5
2020-01-19,Andhra Pradesh,170.2
2020-01-20,Andhra Pradesh,177.3
2020-01-21,Andhra Pradesh,180.6
2020-01-22,Andhra Pradesh,182.4
2020-01-23,Andhra Pradesh,184.3
2020-01-24,Andhra Pradesh,182.8
2020-01-25,Andhra Pradesh,183.0
2020-01-26,Andhra Pradesh,178.7
2020-01-27,Andhra Pradesh,182.9
2020-01-28,Andhra Pradesh,187.8
2020-01-29,Andhra Pradesh,191.0
2020-01-30,Andhra Pradesh,191.8
2020-01-31,Andhra Pradesh,190.0
2020-02-01,Andhra Pradesh,188.6
2020-02-02,Andhra Pradesh,182.7
2020-02-03,Andhra Pradesh,184.4
2020-02-04,Andhra Pradesh,180.6
2020-02-05,Andhra Pradesh,184.6
2020-02-06,Andhra Pradesh,189.5
2020-02-07,Andhra Pradesh,188.1
2020-02-08,Andhra Pradesh,187.4
2020-02-09,Andhra Pradesh,180.5
2020-02-10,Andhra Pradesh,180.7
2020-02-11,Andhra Pradesh,184.5
2020-02-12,Andhra Pradesh,186.4
2020-02-13,Andhra Pradesh,187.8
2020-02-14,Andhra Pradesh,189.0
2020-02-15,Andhra Pradesh,189.7
2020-02-16,Andhra Pradesh,189.7
2020-02-17,Andhra Pradesh,193.5
2020-02-18,Andhra Pradesh,197.3
2020-02-19,Andhra Pradesh,198.1
2020-02-20,Andhra Pradesh,197.4
2020-02-21,Andhra Pradesh,194.6
2020-02-22,Andhra Pradesh,194.6
2020-02-23,Andhra Pradesh,191.3
2020-02-24,Andhra Pradesh,195.0
2020-02-25,Andhra Pradesh,197.6
2020-02-26,Andhra Pradesh,201.2
2020-02-27,Andhra Pradesh,199.0
2020-02-28,Andhra Pradesh,200.7
2020-02-29,Andhra Pradesh,200.8
2020-03-01,Andhra Pradesh,194.0
2020-03-02,Andhra Pradesh,195.3
2020-03-03,Andhra Pradesh,195.9
2020-03-04,Andhra Pradesh,201.2
2020-03-05,Andhra Pradesh,199.5
2020-03-06,Andhra Pradesh,194.7
2020-03-07,Andhra Pradesh,185.7
2020-03-08,Andhra Pradesh,182.4
2020-03-09,Andhra Pradesh,187.7
2020-03-10,Andhra Pradesh,189.2
2020-03-11,Andhra Pradesh,192.3
2020-03-12,Andhra Pradesh,197.4
2020-03-13,Andhra Pradesh,200.0
2020-03-14,Andhra Pradesh,198.5
2020-03-15,Andhra Pradesh,196.1
2020-03-16,Andhra Pradesh,201.2
2020-03-17,Andhra Pradesh,205.1
2020-03-18,Andhra Pradesh,204.3
2020-03-19,Andhra Pradesh,201.3
2020-03-20,Andhra Pradesh,198.5
2020-03-21,Andhra Pradesh,192.9
2020-03-23,Andhra Pradesh,181.4
2020-03-24,Andhra Pradesh,175.4
2020-03-25,Andhra Pradesh,162.1
2020-03-26,Andhra Pradesh,159.7
2020-03-27,Andhra Pradesh,160.4
2020-03-28,Andhra Pradesh,161.0
2020-03-29,Andhra Pradesh,160.4
2020-03-30,Andhra Pradesh,162.7
2020-03-31,Andhra Pradesh,164.2
